service_id,date,exception_type
246018924601895,20230901,1
246019924602245,20230915,1
246019924602245,20230929,1
246019924602243,20231004,1
246021324602242,20230926,1
246019124601921,20230904,1
246019824602257,20231001,1
246019324601975,20230908,1
246019824602251,20230918,1
246019824602252,20230926,1
246019324601953,20230906,1
246019324601954,20230907,1
246019624602245,20230929,1
246019924602233,20231004,1
246018724601873,20230830,1
246019924602022,20230912,1
246021324602175,20230929,1
246019424601953,20230906,1
246019624602175,20230915,1
246019924602201,20231002,1
246019924602174,20230914,1
246019924602173,20230927,1
246021024602105,20230922,1
246021724602175,20230929,1
246020624602244,20231005,1
246019124602257,20230903,1
246019124602257,20230910,1
246020624602234,20230928,1
246019124602197,20230903,1
246019824602197,20231001,1
246019524601964,20230907,1
246021124602116,20230923,1
246021824602256,20230930,1
246020724602103,20230920,1
246020624602094,20230921,1
246019124602253,20230906,1
246019124602255,20230915,1
246019124602251,20231002,1
246019324602245,20230915,1
246019324602243,20230920,1
246019324602244,20231005,1
246021224602257,20231001,1
246019024602046,20230902,1
246021124602256,20230923,1
246021024602245,20230929,1
246021024602245,20231006,1
246019924602091,20230918,1
246019124602247,20230903,1
246019124602241,20230904,1
246019124602243,20230906,1
246019124602247,20230910,1
246019124602247,20230924,1
246019124602245,20230929,1
246020624602254,20230921,1
246020624602255,20230922,1
246020624602254,20230928,1
246020624602255,20230929,1
246020624602251,20231002,1
246020624602253,20231004,1
246021224602255,20231006,1
246020324602255,20231006,1
246020524602252,20231003,1
246020524602254,20231005,1
246020524602255,20231006,1
246020524602231,20230918,1
246020524602237,20230924,1
246020524602233,20231004,1
246020524602234,20231005,1
246021824602186,20230930,1
246020024602243,20230920,1
246019224601931,20230904,1
246019924602262,20231003,1
246019924602263,20231004,1
246019224602244,20230907,1
246019224602243,20230920,1
246019224602245,20230929,1
246019024602256,20230902,1
246019024602256,20230909,1
246018724601884,20230831,1
246019924602244,20230914,1
246019924602241,20231002,1
246019324601943,20230906,1
246020724602092,20230919,1
246019824602257,20230917,1
246018724601903,20230830,1
246019824602255,20230922,1
246019824602255,20230929,1
246019824602255,20231006,1
246019924602232,20231003,1
246019924602024,20230914,1
246020324602245,20230915,1
246020324602245,20231006,1
246020624602061,20230918,1
246021324602234,20231005,1
246019924602131,20230925,1
246020324602175,20230922,1
246020324602175,20230929,1
246019624602175,20230929,1
246021424602233,20231004,1
246019924602175,20230915,1
246019924602171,20230918,1
246020024602234,20230914,1
246020024602234,20230928,1
246020624602245,20230929,1
246020624602243,20231004,1
246019024601906,20230902,1
246019124602257,20230917,1
246020624602232,20231003,1
246020624602234,20231005,1
246019124602197,20231001,1
246020524602057,20230917,1
246020724602104,20230921,1
246020624602092,20230919,1
246018924602245,20230922,1
246018924602245,20230929,1
246018924602245,20231006,1
246019024602046,20230916,1
246021224602197,20230924,1
246020024602032,20230912,1
246020024602035,20230915,1
246021424602242,20230926,1
246021424602245,20230929,1
246021424602244,20231005,1
246021424602245,20231006,1
246019224602031,20230904,1
246020624602256,20230930,1
246020624602252,20231003,1
246020624602254,20231005,1
246021224602255,20230929,1
246021224602254,20231005,1
246019924602103,20230920,1
246021424602175,20230929,1
246020324602255,20230915,1
246019924602043,20230913,1
246020524602253,20230920,1
246020524602254,20230921,1
246020524602252,20230926,1
246020524602255,20230929,1
246020524602253,20231004,1
246020524602232,20231003,1
246020024602245,20230922,1
246020024602244,20230928,1
246020024602245,20231006,1
246019624601975,20230908,1
246020624602104,20230921,1
246019424601986,20230909,1
246019424601987,20230910,1
246019924602263,20230913,1
246019924602267,20230924,1
246019924602262,20230926,1
246020824602105,20230922,1
246019024602256,20230923,1
246019924602241,20230918,1
246019924602242,20230919,1
246019924602034,20230914,1
246019924602035,20230915,1
246021324602245,20230929,1
246021324602243,20231004,1
246019824602257,20230924,1
246019824602255,20230915,1
246019824602253,20230927,1
246019824602251,20231002,1
246019824602253,20231004,1
246019324601952,20230905,1
246019624602245,20230908,1
246019924602231,20230911,1
246019924602232,20230919,1
246019924602233,20230920,1
246019924602234,20230921,1
246018824601884,20230831,1
246020324602245,20230922,1
246021324602232,20230926,1
246021324602173,20230927,1
246022024602232,20231003,1
246022024602234,20231005,1
246019924602131,20230911,1
246021424602163,20230927,1
246021424602233,20230927,1
246021424602232,20231003,1
246019924602173,20230913,1
246019924602174,20230928,1
246018724601953,20230906,1
246020624602245,20230922,1
246020624602241,20231002,1
246020624602242,20231003,1
246020624602245,20231006,1
246020624602233,20231004,1
246019624602035,20230915,1
246019124601971,20230904,1
246019124601976,20230909,1
246019124602197,20230924,1
246019824602197,20230910,1
246019524601965,20230908,1
246021824602256,20231007,1
246019724602256,20230923,1
246020624602093,20230920,1
246018924602245,20230915,1
246019124602255,20230908,1
246019124602253,20231004,1
246019324602242,20230905,1
246019324602244,20230907,1
246019324602245,20230908,1
246019324602245,20230922,1
246019324602243,20230927,1
246019324602244,20230928,1
246019324602245,20231006,1
246019824602057,20230910,1
246020824602094,20230921,1
246020424602256,20230930,1
246019924602093,20230913,1
246021224602232,20230926,1
246021224602233,20230927,1
246021224602234,20231005,1
246019124602242,20230905,1
246019124602245,20230908,1
246019124602244,20230914,1
246019124602247,20231001,1
246019124602244,20231005,1
246019224602034,20230907,1
246020624602251,20230918,1
246020624602253,20230920,1
246020624602256,20230923,1
246020624602255,20231006,1
246021224602252,20231003,1
246019924602104,20230921,1
246021324602131,20230925,1
246022024602241,20231002,1
246022024602243,20231004,1
246020524602257,20230924,1
246020524602257,20231001,1
246020524602237,20230917,1
246020024602242,20230912,1
246020024602245,20230915,1
246020024602242,20231003,1
246019424601983,20230906,1
246019924602265,20230922,1
246019224602245,20230915,1
246019224602242,20230919,1
246019224602244,20230921,1
246019224602241,20231002,1
246019224602244,20231005,1
246019224602245,20231006,1
246020624602071,20230918,1
246020824602103,20230920,1
246019324601963,20230906,1
246019924602243,20230913,1
246019924602243,20230927,1
246019924602242,20231003,1
246019924602033,20230913,1
246020624602101,20230918,1
246019624601965,20230908,1
246019824602256,20230923,1
246019324601974,20230907,1
246019324601976,20230909,1
246019824602252,20230912,1
246019824602253,20230913,1
246019824602252,20231003,1
246019624602245,20230915,1
246019624602245,20230922,1
246019924602231,20230918,1
246019924602231,20231002,1
246019924602021,20230911,1
246019924602023,20230913,1
246021324602233,20231004,1
246022024602231,20231002,1
246022424602245,20231006,1
246021424602162,20230926,1
246020324602175,20230915,1
246019424601954,20230907,1
246019924602201,20230918,1
246019924602171,20230911,1
246020324602035,20230915,1
246018724601953,20230830,1
246020024602232,20230919,1
246020024602234,20230921,1
246020024602232,20231003,1
246020624602241,20230918,1
246020624602243,20230920,1
246020624602232,20230919,1
246020624602231,20231002,1
246019124602197,20230917,1
246018924602245,20230901,1
246018724601905,20230901,1
246019124602251,20230918,1
246019124602253,20230920,1
246019124602254,20230921,1
246019124602255,20230929,1
246019324602243,20230913,1
246019824602047,20230910,1
246021424602243,20230927,1
246019924602091,20230911,1
246021224602237,20230924,1
